name,Mission,Priorite,DSO,BFR,Tresorerie,Creances_clients,Dettes_fournisseurs,Explication,forme_juridique
Client 137,Diagnostic financier approfondi,Haute,46.39620125683974,2401803.0,610673.0,2296900.0,-104903.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 137,Optimisation du BFR,Haute,46.39620125683974,2401803.0,610673.0,2296900.0,-104903.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 137,Optimisation du recouvrement clients,Haute,46.39620125683974,2401803.0,610673.0,2296900.0,-104903.0,DSO élevé et créances clients importantes.,
Client 168,Optimisation du BFR,Haute,6.054062386844587,519898.0,12232852.0,408000.0,-111898.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 160,Accompagnement au pilotage financier,Moyenne,109.84538071950463,40807885.0,36804002.0,37196600.0,-3611285.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 160,Diagnostic financier approfondi,Haute,109.84538071950463,40807885.0,36804002.0,37196600.0,-3611285.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 160,Optimisation du BFR,Haute,109.84538071950463,40807885.0,36804002.0,37196600.0,-3611285.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 160,Optimisation du recouvrement clients,Haute,109.84538071950463,40807885.0,36804002.0,37196600.0,-3611285.0,DSO élevé et créances clients importantes.,
Client 217,Optimisation du BFR,Haute,40.49527592192608,570031.0,1881924.0,725235.0,155204.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SARL
Client 247,Accompagnement au pilotage financier,Moyenne,22.645168999231245,1127019.0,4055465.0,2681553.0,1554534.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,IND
Client 247,Optimisation du BFR,Haute,22.645168999231245,1127019.0,4055465.0,2681553.0,1554534.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,IND
Client 238,Diagnostic financier approfondi,Haute,61.296503747345774,2941859.0,4042228.0,6276323.0,3334464.0,Plusieurs signaux financiers justifient une analyse approfondie.,SC
Client 238,Optimisation du BFR,Haute,61.296503747345774,2941859.0,4042228.0,6276323.0,3334464.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SC
Client 238,Optimisation du recouvrement clients,Haute,61.296503747345774,2941859.0,4042228.0,6276323.0,3334464.0,DSO élevé et créances clients importantes.,SC
Client 136,Accompagnement au pilotage financier,Moyenne,34.89644205934256,3351096.0,2227390.0,4499794.0,1148698.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 136,Diagnostic financier approfondi,Haute,34.89644205934256,3351096.0,2227390.0,4499794.0,1148698.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 136,Optimisation du BFR,Haute,34.89644205934256,3351096.0,2227390.0,4499794.0,1148698.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 136,Optimisation du recouvrement clients,Haute,34.89644205934256,3351096.0,2227390.0,4499794.0,1148698.0,DSO élevé et créances clients importantes.,
Client 207,Optimisation de la structure financière,Moyenne,0.0,-8575794.0,24521828.0,0.0,8575794.0,"Trésorerie élevée, faible délai de paiement des clients et besoin en fonds de roulement maîtrisé.",SARL
Client 142,Accompagnement au pilotage financier,Moyenne,53.60140385107925,12173522.0,9077819.0,16208137.0,4034615.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 142,Diagnostic financier approfondi,Haute,53.60140385107925,12173522.0,9077819.0,16208137.0,4034615.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 142,Optimisation du BFR,Haute,53.60140385107925,12173522.0,9077819.0,16208137.0,4034615.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 142,Optimisation du recouvrement clients,Haute,53.60140385107925,12173522.0,9077819.0,16208137.0,4034615.0,DSO élevé et créances clients importantes.,
Client 4,Optimisation du BFR,Haute,96.26861625939348,316719.0,1760055.0,316719.0,0.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,COM
Client 85,Pilotage de la trésorerie,Haute,0.0,37000.0,38274.0,0.0,-37000.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 191,Optimisation du BFR,Haute,19.62268412707666,4824597.0,1076528.0,521962.0,-4302635.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,DIV
Client 162,Optimisation du BFR,Haute,5.283642006961962,338385.0,10081649.0,486680.0,148295.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 129,Pilotage de la trésorerie,Haute,36.5,250000.0,-31762.0,250000.0,0.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 62,Accompagnement au pilotage financier,Moyenne,38.4317332805853,6877483.0,8596234.0,11160282.0,4282799.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 62,Diagnostic financier approfondi,Haute,38.4317332805853,6877483.0,8596234.0,11160282.0,4282799.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 62,Optimisation du BFR,Haute,38.4317332805853,6877483.0,8596234.0,11160282.0,4282799.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 62,Optimisation du recouvrement clients,Haute,38.4317332805853,6877483.0,8596234.0,11160282.0,4282799.0,DSO élevé et créances clients importantes.,
Client 151,Optimisation du BFR,Haute,18.657374498030983,513000.0,2604863.0,513000.0,0.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 59,Optimisation du BFR,Haute,21.806091662439194,810000.0,1380777.0,810000.0,0.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,ENT
Client 249,Diagnostic financier approfondi,Haute,23.807507275412675,1055679.0,3866086.0,1497402.0,441723.0,Plusieurs signaux financiers justifient une analyse approfondie.,SEP
Client 249,Optimisation du BFR,Haute,23.807507275412675,1055679.0,3866086.0,1497402.0,441723.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SEP
Client 249,Optimisation du recouvrement clients,Haute,23.807507275412675,1055679.0,3866086.0,1497402.0,441723.0,DSO élevé et créances clients importantes.,SEP
Client 234,Optimisation de la structure financière,Moyenne,0.0,-93942.0,17906911.0,0.0,93942.0,"Trésorerie élevée, faible délai de paiement des clients et besoin en fonds de roulement maîtrisé.",
Client 251,Optimisation du BFR,Haute,1.1669882674403864,2087380.0,-2064881.0,81947.0,-2005433.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,IND
Client 251,Pilotage de la trésorerie,Haute,1.1669882674403864,2087380.0,-2064881.0,81947.0,-2005433.0,Trésorerie faible avec un besoin en fonds de roulement positif.,IND
Client 39,Accompagnement au pilotage financier,Moyenne,68.2476324443264,29682428.0,42364898.0,59014141.0,29331713.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 39,Diagnostic financier approfondi,Haute,68.2476324443264,29682428.0,42364898.0,59014141.0,29331713.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 39,Optimisation du BFR,Haute,68.2476324443264,29682428.0,42364898.0,59014141.0,29331713.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 39,Optimisation du recouvrement clients,Haute,68.2476324443264,29682428.0,42364898.0,59014141.0,29331713.0,DSO élevé et créances clients importantes.,
Client 67,Pilotage de la trésorerie,Haute,8.946582458209015,95333.0,55930.0,112418.0,17085.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 95,Accompagnement au pilotage financier,Moyenne,32.16490900325748,6091498.0,26389258.0,8081414.0,1989916.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,SARL
Client 95,Diagnostic financier approfondi,Haute,32.16490900325748,6091498.0,26389258.0,8081414.0,1989916.0,Plusieurs signaux financiers justifient une analyse approfondie.,SARL
Client 95,Optimisation du BFR,Haute,32.16490900325748,6091498.0,26389258.0,8081414.0,1989916.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SARL
Client 95,Optimisation du recouvrement clients,Haute,32.16490900325748,6091498.0,26389258.0,8081414.0,1989916.0,DSO élevé et créances clients importantes.,SARL
Client 12,Diagnostic financier approfondi,Haute,54.60246214149377,1238994.0,1037977.0,1945958.0,706964.0,Plusieurs signaux financiers justifient une analyse approfondie.,SARL
Client 12,Optimisation du BFR,Haute,54.60246214149377,1238994.0,1037977.0,1945958.0,706964.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SARL
Client 12,Optimisation du recouvrement clients,Haute,54.60246214149377,1238994.0,1037977.0,1945958.0,706964.0,DSO élevé et créances clients importantes.,SARL
Client 109,Optimisation de la structure financière,Moyenne,-20.169874469048136,-754229.0,7160547.0,-2091000.0,-1336771.0,"Trésorerie élevée, faible délai de paiement des clients et besoin en fonds de roulement maîtrisé.",BNC
Client 236,Optimisation de la structure financière,Moyenne,0.0,-763201.0,7740349.0,0.0,763201.0,"Trésorerie élevée, faible délai de paiement des clients et besoin en fonds de roulement maîtrisé.",SARL
Client 158,Diagnostic financier approfondi,Haute,48.091142476866324,760798.0,3525842.0,1465196.0,704398.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 158,Optimisation du BFR,Haute,48.091142476866324,760798.0,3525842.0,1465196.0,704398.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 158,Optimisation du recouvrement clients,Haute,48.091142476866324,760798.0,3525842.0,1465196.0,704398.0,DSO élevé et créances clients importantes.,
Client 225,Diagnostic financier approfondi,Haute,77.33872328774035,6280197.0,16573605.0,6836156.0,555959.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 225,Optimisation du BFR,Haute,77.33872328774035,6280197.0,16573605.0,6836156.0,555959.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 225,Optimisation du recouvrement clients,Haute,77.33872328774035,6280197.0,16573605.0,6836156.0,555959.0,DSO élevé et créances clients importantes.,
Client 299,Optimisation du BFR,Haute,0.0,1159478.0,22552.0,0.0,-1159478.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SCV
Client 299,Pilotage de la trésorerie,Haute,0.0,1159478.0,22552.0,0.0,-1159478.0,Trésorerie faible avec un besoin en fonds de roulement positif.,SCV
Client 261,Optimisation de la structure financière,Moyenne,0.0,-3763153.0,16410165.0,0.0,3763153.0,"Trésorerie élevée, faible délai de paiement des clients et besoin en fonds de roulement maîtrisé.",IND
Client 237,Diagnostic financier approfondi,Haute,99.13369897124288,3850453.0,1042872.0,3992500.0,142047.0,Plusieurs signaux financiers justifient une analyse approfondie.,SCI
Client 237,Optimisation du BFR,Haute,99.13369897124288,3850453.0,1042872.0,3992500.0,142047.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SCI
Client 237,Optimisation du recouvrement clients,Haute,99.13369897124288,3850453.0,1042872.0,3992500.0,142047.0,DSO élevé et créances clients importantes.,SCI
Client 309,Optimisation du BFR,Haute,5.283642006961962,338385.0,10081649.0,486680.0,148295.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SCV
Client 246,Diagnostic financier approfondi,Haute,125.66240036079662,4888900.0,110198.0,5310062.0,421162.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 246,Optimisation du BFR,Haute,125.66240036079662,4888900.0,110198.0,5310062.0,421162.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 246,Optimisation du recouvrement clients,Haute,125.66240036079662,4888900.0,110198.0,5310062.0,421162.0,DSO élevé et créances clients importantes.,
Client 177,Optimisation du BFR,Haute,0.0,292806.0,1155976.0,0.0,-292806.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 303,Optimisation du BFR,Haute,0.0,1267935.0,641580.0,0.0,-1267935.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,SCV
Client 143,Optimisation du BFR,Haute,0.0,870205.0,-927116.0,0.0,-870205.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 143,Pilotage de la trésorerie,Haute,0.0,870205.0,-927116.0,0.0,-870205.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 111,Diagnostic financier approfondi,Haute,113.02012330801998,5704125.0,894827.0,8621711.0,2917586.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 111,Optimisation du BFR,Haute,113.02012330801998,5704125.0,894827.0,8621711.0,2917586.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 111,Optimisation du recouvrement clients,Haute,113.02012330801998,5704125.0,894827.0,8621711.0,2917586.0,DSO élevé et créances clients importantes.,
Client 181,Accompagnement au pilotage financier,Moyenne,30.30911070887808,1807900.0,-331668.0,4237381.0,2429481.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 181,Diagnostic financier approfondi,Haute,30.30911070887808,1807900.0,-331668.0,4237381.0,2429481.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 181,Optimisation du BFR,Haute,30.30911070887808,1807900.0,-331668.0,4237381.0,2429481.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 181,Optimisation du recouvrement clients,Haute,30.30911070887808,1807900.0,-331668.0,4237381.0,2429481.0,DSO élevé et créances clients importantes.,
Client 181,Pilotage de la trésorerie,Haute,30.30911070887808,1807900.0,-331668.0,4237381.0,2429481.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 126,Diagnostic financier approfondi,Haute,32.77592242728324,1400089.0,-976648.0,1874492.0,474403.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 126,Optimisation du BFR,Haute,32.77592242728324,1400089.0,-976648.0,1874492.0,474403.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
Client 126,Optimisation du recouvrement clients,Haute,32.77592242728324,1400089.0,-976648.0,1874492.0,474403.0,DSO élevé et créances clients importantes.,
Client 126,Pilotage de la trésorerie,Haute,32.77592242728324,1400089.0,-976648.0,1874492.0,474403.0,Trésorerie faible avec un besoin en fonds de roulement positif.,
Client 167,Accompagnement au pilotage financier,Moyenne,181.3787300049856,20172034.0,-27309.0,24314103.0,4142069.0,Activité importante nécessitant un suivi renforcé des indicateurs financiers.,
Client 167,Diagnostic financier approfondi,Haute,181.3787300049856,20172034.0,-27309.0,24314103.0,4142069.0,Plusieurs signaux financiers justifient une analyse approfondie.,
Client 167,Optimisation du BFR,Haute,181.3787300049856,20172034.0,-27309.0,24314103.0,4142069.0,BFR élevé avec des créances supérieures aux dettes fournisseurs.,
